Datum;Beschreibung;Typ;Total;Zürich_Ja;Zürich_Nein;Ticino_Ja;Ticino_Nein;Französische_Schweiz;Alpen_und_Voralpen;Westmittelland;Ostmittelland;Italienische_Schweiz;Alter_15-29;Alter_30-59;Alter_60++;Alter_15-64;Alter_65++;Männlich;Weiblich;Städtisch;Ländlich;D-CH;W-CH;I-CH
16.02.2020;Distanz in m ;Mean;38023.4;39975.2;37541.8;35774.6;38131.5;43172.8;31774;37864.4;38622.1;35774.6;48940.8;36507.5;30006.7;39174.5;29044.9;36935.3;39384.8;37597.3;38614.3;36494.5;43172.8;35774.6
16.02.2020;Radius in m;Mean;17555.4;18907.5;17221.7;19295.2;17471.8;19903.4;13495.8;17445.1;18245.5;19295.2;25220.5;16118.6;13276.1;18112.7;13208.6;16541.3;18824.2;18216.6;16638.7;16682.2;19903.4;19295.2
16.02.2020;Distanz;Median;13732.3;14570;13545.2;16134.3;13633.4;14638.6;13774.2;13094.7;12601.2;16134.3;21444.9;12364.6;9601.1;14394.4;8947.4;14177;13302.2;11873.8;15941.3;13179.7;14638.6;16134.3
16.02.2020;Radius;Median;4502.7;4683.1;4473;4292.9;4516.7;4611.2;4696.3;4450.1;4425.2;4292.9;7704.2;4160.5;3125.7;4728.8;2682.6;4642.3;4403.4;3899;5502.1;4484.8;4611.2;4292.9
17.02.2020;Distanz;Mean;48393.9;39507.6;50599.7;27654.9;49431.2;42760.5;39579.2;42396.6;66659.6;27654.9;42806.6;53323;37150;50673.5;29591.1;51715.6;44295;43057.4;55889.2;51595.2;42760.5;27654.9
17.02.2020;Radius;Mean;16239.8;17098.4;16026.6;9386.9;16582.5;16220.3;14644.8;16692.6;18063.8;9386.9;16577.8;16430.6;15102.3;16782.3;11765.1;17854.5;14247.3;15046.2;17916.2;16700.1;16220.3;9386.9
17.02.2020;Distanz;Median;22970.7;23843.8;22642.9;12639.7;23557.5;21554.5;20577.3;22642.9;27674.2;12639.7;26580.2;24771.6;14765.9;24949.6;11552.1;25096.4;20390.9;16759.4;31513.3;23830.2;21554.5;12639.7
17.02.2020;Radius;Median;7192.5;8317.3;7038.7;3901.7;7356.2;7128.1;6030.9;6779.1;9272.8;3901.7;8304.6;7920;4474.1;8033.1;2980.4;8100.1;6405.2;5140.6;10661.2;7487.3;7128.1;3901.7
18.02.2020;Distanz;Mean;46599.9;42291.4;47670.1;40901.4;46854;43385.2;58142.8;45592.3;43220;40553.4;55252.3;45791.7;38829.4;48187.8;33538.2;48857.9;43896.3;45178;48610.5;47999.6;43385.2;40553.4
18.02.2020;Radius;Mean;16327.2;16523.5;16278.5;15449.9;16366.3;15315.6;16821.2;16659.4;16686.5;15321.2;16885.5;16689.2;14302;16824.7;12235;17862.8;14488.5;15896.9;16935.6;16714.3;15315.6;15321.2
